timestamp,elapsed_sec,backend_cpu_pct,backend_mem_mb,postgres_cpu_pct,postgres_mem_mb,db_connections,db_active,db_idle_in_txn,max_query_sec,wait_events
2026-08-25T20:35:16,825,1.54,269.7,5.37,100.9,11,1,0,0.0,running:1
2026-08-25T20:35:23,833,6.85,269.7,5.07,101,11,1,0,0.0,running:1
2026-08-25T20:35:31,841,2.18,269.8,7.20,100.9,11,1,0,0.0,running:1
2026-08-25T20:35:39,848,2.20,270,7.08,101.8,11,1,0,0.0,running:1
2026-08-25T20:35:46,855,3.22,269.8,5.95,100.8,11,1,0,0.0,running:1
2026-08-25T20:35:53,863,2.15,269.8,10.94,101.1,11,1,0,0.0,running:1
2026-08-25T20:36:01,871,7.76,269.1,9.38,100.9,11,1,0,0.0,running:1
2026-08-25T20:36:09,878,2.96,269.8,10.09,101,11,1,0,0.0,running:1
2026-08-25T20:36:16,885,3.26,269.4,10.55,101.6,11,1,0,0.0,running:1
2026-08-25T20:36:23,893,2.88,269.7,9.24,100.8,11,1,0,0.0,running:1
2026-08-25T20:36:31,901,3.10,269.7,10.91,101.6,11,1,0,0.0,running:1
2026-08-25T20:36:38,908,3.76,269.9,10.46,101.4,11,1,0,0.0,running:1
2026-08-25T20:36:46,916,7.33,269.5,12.13,101.8,11,1,0,0.0,running:1
2026-08-25T20:36:53,923,3.58,270.1,10.88,101.7,11,1,0,0.0,running:1
2026-08-25T20:37:01,931,3.14,270,10.87,101.3,11,1,0,0.0,running:1
2026-08-25T20:37:09,938,2.99,269.7,10.98,100.7,11,1,0,0.0,running:1
2026-08-25T20:37:16,946,2.83,269.5,8.66,101.4,11,1,0,0.0,running:1
2026-08-25T20:37:23,953,3.35,269.5,13.10,101.4,11,1,0,0.0,running:1
2026-08-25T20:37:31,961,3.09,269.3,10.32,101.3,11,1,0,0.0,running:1
2026-08-25T20:37:39,968,3.03,269.4,11.60,102,11,1,0,0.0,running:1
2026-08-25T20:37:46,976,3.38,269.9,11.17,101,11,1,0,0.0,running:1
2026-08-25T20:37:53,983,2.99,270.5,12.27,101.8,11,1,0,0.0,running:1
2026-08-25T20:38:01,991,3.32,270.5,10.95,101.6,11,1,0,0.0,running:1
2026-08-25T20:38:09,998,3.09,269.6,11.37,101.1,11,1,0,0.0,running:1
2026-08-25T20:38:16,1006,2.95,269.4,11.86,101.7,11,1,0,0.0,running:1
2026-08-25T20:38:23,1013,2.90,269.3,10.57,100.8,11,1,0,0.0,running:1
2026-08-25T20:38:31,1021,3.19,270.1,10.22,101.4,11,1,0,0.0,running:1
2026-08-25T20:38:39,1028,2.95,269.9,12.01,101.3,11,1,0,0.0,running:1
2026-08-25T20:38:46,1036,3.20,269.6,9.14,101.8,11,1,0,0.0,running:1
2026-08-25T20:38:53,1043,3.05,270.2,11.10,100.9,11,1,0,0.0,running:1
2026-08-25T20:39:01,1051,3.06,269.6,8.18,101.4,11,1,0,0.0,running:1
2026-08-25T20:39:09,1058,2.80,269.5,8.58,101,11,2,0,0.0,running:2
2026-08-25T20:39:16,1066,3.33,269.6,7.29,101,11,1,0,0.0,running:1
2026-08-25T20:39:24,1073,2.75,270,8.56,101.6,11,1,0,0.0,running:1
2026-08-25T20:39:31,1081,3.56,269.8,9.99,100.8,11,2,0,0.0,running:2
2026-08-25T20:39:39,1089,2.96,269.8,9.30,100.7,11,1,0,0.0,running:1
2026-08-25T20:39:46,1096,3.45,270,12.77,100.9,11,1,0,0.0,running:1
2026-08-25T20:39:54,1103,2.92,269.5,9.39,100.9,11,1,0,0.0,running:1
2026-08-25T20:40:01,1111,2.48,269.5,11.04,101.2,11,1,0,0.0,running:1
2026-08-25T20:40:09,1119,3.24,270.2,10.64,101.3,11,1,0,0.0,running:1
2026-08-25T20:40:16,1126,3.36,269.2,10.40,101.5,11,1,0,0.0,running:1
2026-08-25T20:40:24,1133,4.63,269.3,11.25,101,11,1,0,0.0,running:1
2026-08-25T20:40:31,1141,2.86,269.9,10.64,101.2,11,1,0,0.0,running:1
2026-08-25T20:40:39,1149,2.67,269.9,9.72,101.8,11,1,0,0.0,running:1
2026-08-25T20:40:46,1156,2.74,270.2,8.10,101.2,11,1,0,0.0,running:1
2026-08-25T20:40:54,1163,3.29,270.2,8.31,102.1,11,1,0,0.0,running:1
2026-08-25T20:41:01,1171,2.56,269.8,8.83,101.6,11,1,0,0.0,running:1
2026-08-25T20:41:09,1179,2.40,269.7,7.38,101,11,1,0,0.0,running:1
2026-08-25T20:41:16,1186,3.15,269.4,9.79,101.5,11,1,0,0.0,running:1
2026-08-25T20:41:24,1193,3.00,270.2,10.81,101.5,11,2,0,0.0,running:2
2026-08-25T20:41:31,1201,2.57,269.5,9.58,100.9,11,1,0,0.0,running:1
2026-08-25T20:41:39,1209,2.81,269.9,8.40,101.2,11,1,0,0.0,running:1
2026-08-25T20:41:46,1216,2.80,269.9,11.13,101.6,11,1,0,0.0,running:1
2026-08-25T20:41:54,1223,2.97,269.5,10.34,102,11,1,0,0.0,running:1
2026-08-25T20:42:01,1231,2.48,269.6,12.56,101.9,11,1,0,0.0,running:1
2026-08-25T20:42:09,1239,3.13,269.5,11.08,101.2,11,1,0,0.0,running:1
2026-08-25T20:42:16,1246,2.80,269.9,10.64,101.3,11,1,0,0.0,running:1
2026-08-25T20:42:24,1253,2.99,269.2,8.12,102.5,11,1,0,0.0,running:1
2026-08-25T20:42:31,1261,3.04,269.6,9.74,101.5,11,1,0,0.0,running:1
2026-08-25T20:42:39,1269,2.82,269.3,9.96,101,11,1,0,0.0,running:1
2026-08-25T20:42:46,1276,2.81,269.8,9.78,101.2,11,1,0,0.0,running:1
2026-08-25T20:42:54,1283,3.83,269.8,11.13,101.4,11,1,0,0.0,running:1
2026-08-25T20:43:01,1291,4.02,269.5,10.97,101,11,1,0,0.0,running:1
