timestamp,elapsed_sec,backend_cpu_pct,backend_mem_mb,postgres_cpu_pct,postgres_mem_mb,db_connections,db_active,db_idle_in_txn,max_query_sec,wait_events
2026-08-25T21:21:32,315,48.65,372.5,199.59,105.2,11,10,0,0.0,Client:1 running:9
2026-08-25T21:21:39,323,52.59,371.9,195.99,105.5,11,10,0,0.0,running:10
2026-08-25T21:21:47,331,52.07,371.7,197.71,105.7,11,10,0,0.0,Client:1 running:9
2026-08-25T21:21:55,339,46.90,371.5,197.85,104.8,11,9,0,0.0,running:9
2026-08-25T21:22:03,347,51.87,371.9,198.76,105.5,11,10,0,0.0,running:10
2026-08-25T21:22:11,355,47.91,371.9,196.10,105.5,11,8,0,0.0,running:8
2026-08-25T21:22:18,362,48.68,371.9,197.87,105.4,11,9,0,0.0,running:9
2026-08-25T21:22:26,370,48.01,371.8,198.17,105.9,11,8,0,0.0,running:8
2026-08-25T21:22:34,378,50.66,371,199.51,105.7,11,10,0,0.0,running:10
2026-08-25T21:22:42,385,47.02,370.6,199.09,106.2,11,9,0,0.0,running:9
2026-08-25T21:22:49,393,50.63,370.9,197.45,106.2,11,10,0,0.0,running:10
2026-08-25T21:22:57,401,50.12,370.8,201.07,105.5,11,8,0,0.0,Client:1 running:7
2026-08-25T21:23:05,409,46.31,370.6,199.57,105.7,11,11,0,0.0,Client:2 running:9
2026-08-25T21:23:13,417,49.08,370.9,197.56,105.3,11,11,0,0.0,Client:1 running:10
2026-08-25T21:23:20,424,47.32,370.3,198.67,106.5,11,9,0,0.0,Client:1 running:8
2026-08-25T21:23:28,432,50.09,370.2,200.03,105.5,11,9,0,0.0,running:9
2026-08-25T21:23:36,440,51.21,369.7,201.84,105.5,11,10,0,0.0,running:10
2026-08-25T21:23:44,448,52.19,370.4,198.51,105.6,11,10,0,0.0,running:10
2026-08-25T21:23:52,456,50.76,370.3,198.92,105.8,11,10,0,0.0,running:10
2026-08-25T21:24:00,464,50.37,370.2,202.05,106.1,11,8,0,0.0,Client:1 running:7
2026-08-25T21:24:07,471,50.98,370.3,201.97,106.2,11,11,0,0.0,Client:1 running:10
2026-08-25T21:24:15,479,49.86,370.8,202.12,105.3,11,9,0,0.0,running:9
2026-08-25T21:24:23,487,49.18,370.3,188.48,104.5,11,2,0,0.0,running:2
2026-08-25T21:24:30,494,0.11,369.8,0.05,103.4,11,1,0,0.0,running:1
2026-08-25T21:24:38,502,0.16,369.8,0.02,103.5,11,1,0,0.0,running:1
2026-08-25T21:24:46,510,0.26,369.8,0.05,103.9,11,1,0,0.0,running:1
2026-08-25T21:24:53,517,0.12,369.8,0.01,103.7,11,1,0,0.0,running:1
2026-08-25T21:25:01,525,0.11,369.8,2.63,103.8,11,1,0,0.0,running:1
2026-08-25T21:25:08,532,0.12,369.8,0.00,103.4,11,1,0,0.0,running:1
2026-08-25T21:25:16,540,0.15,369.8,0.35,104.1,11,1,0,0.0,running:1
2026-08-25T21:25:23,547,0.30,369.7,0.00,103.5,11,1,0,0.0,running:1
2026-08-25T21:25:31,555,0.13,346.8,1.77,103.5,11,1,0,0.0,running:1
